               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.7305,              7.9402,              5.3023,          0.00073623,           0.0025618,          2.2015e-05,          7.8808e-06,                   0,                   0,                   0,            0.070076,           0.0033249,           0.0033249
                   1,              5.6555,              7.8054,              5.2772,          0.00023515,           0.0012195,          4.7501e-05,          1.8449e-05,                   0,                   0,                   0,             0.04001,           0.0065923,           0.0065923
                   2,              5.5749,              6.8908,              5.1727,           0.0014616,            0.073491,           0.0054505,           0.0018489,                   0,                   0,                   0,           0.0098779,           0.0097937,           0.0097937
                   3,              4.6117,              5.6819,               4.635,             0.62111,            0.033369,            0.014862,           0.0050051,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,               3.669,              5.0058,              3.8184,             0.86244,               0.023,             0.02878,            0.012811,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              3.2333,              4.6439,              3.2207,             0.64637,            0.076745,            0.048443,            0.020463,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              3.0198,              4.4814,              3.0099,             0.19345,             0.10703,            0.086606,            0.042483,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              2.9054,              4.2533,              2.7569,             0.11795,             0.15334,            0.078173,            0.036954,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              2.8436,              4.1116,              2.6263,             0.24195,             0.24197,             0.15994,            0.088665,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              2.7507,              3.9614,              2.5341,             0.23579,             0.29009,             0.15839,            0.087552,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              2.6975,              3.8551,              2.4543,             0.43835,             0.25643,             0.20742,             0.11228,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              2.6182,              3.6904,              2.3755,              0.2526,             0.29586,             0.23436,             0.12981,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,               2.642,              3.6927,              2.2963,             0.35395,             0.30418,             0.24054,             0.13905,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              2.5755,              3.6279,              2.2746,             0.32515,             0.26724,             0.23403,             0.14097,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              2.5522,               3.533,               2.256,             0.32327,             0.27851,             0.23526,             0.14218,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              2.5342,              3.5169,              2.2081,              0.3431,             0.34175,             0.26298,             0.16482,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              2.4964,              3.4416,              2.1951,             0.31729,             0.35448,             0.25962,             0.16155,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              2.3911,              3.2987,              2.1192,             0.32731,             0.39615,             0.28766,             0.17441,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              2.3871,               3.245,              2.0668,             0.32411,             0.35499,             0.27468,             0.16623,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              2.4007,              3.3603,              2.0679,             0.38166,             0.38436,              0.2992,             0.18179,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              2.3646,              3.2043,              2.0558,             0.39628,             0.33903,             0.28597,             0.18147,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              2.3444,              3.2375,                2.09,             0.30261,             0.34973,              0.2741,             0.17412,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              2.3178,               3.142,              2.0052,             0.37644,             0.37136,             0.31882,             0.20143,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              2.2624,              3.0538,              1.9918,             0.51834,             0.31399,             0.30707,             0.20737,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              2.3217,              3.1382,              2.0267,             0.51077,             0.38789,              0.3532,             0.22996,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              2.2812,              3.0441,              1.9864,             0.39769,             0.44562,             0.33428,             0.21157,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              2.2397,              2.9691,              1.9506,              0.4277,             0.40702,             0.38326,             0.24357,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              2.2164,              2.9564,              1.9312,             0.40938,             0.47917,             0.40202,             0.25926,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              2.2336,               2.939,              1.9533,             0.43702,             0.46309,             0.37414,             0.23208,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              2.1955,              2.9332,              1.9372,             0.43796,             0.43572,              0.3665,             0.23903,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              2.1872,              2.8407,              1.9019,             0.47531,             0.43883,             0.39372,             0.25517,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              2.1867,              2.8738,              1.8637,             0.37412,             0.43814,              0.3813,             0.24612,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,              2.1164,              2.7891,              1.8569,             0.37212,             0.44093,             0.32877,             0.21486,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              2.1349,              2.7998,              1.8538,             0.48321,             0.41751,             0.41282,             0.27177,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              2.0599,              2.7146,              1.8305,             0.47884,             0.44401,             0.41015,             0.27352,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,              2.1141,              2.7415,              1.8524,             0.40425,             0.47168,             0.39474,             0.25988,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              2.0911,              2.7496,                1.85,             0.45724,             0.45223,             0.41255,             0.27144,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              2.0688,              2.6771,              1.8272,             0.44466,              0.4368,               0.402,              0.2642,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,              2.0851,              2.7004,              1.7865,             0.40878,             0.46873,             0.40421,             0.27209,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              2.0627,              2.6294,              1.8052,             0.41652,             0.49708,             0.41462,             0.27749,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,              2.0556,              2.6449,              1.8121,             0.42834,             0.44943,             0.40557,             0.26798,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              2.0288,              2.5944,              1.7928,             0.41167,             0.47237,             0.41037,             0.26469,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              2.0681,              2.6134,              1.7798,             0.40997,             0.51378,             0.43075,             0.28365,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              2.0537,              2.6098,              1.7865,             0.43929,             0.49528,             0.44835,              0.2956,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              2.0216,              2.5759,              1.7784,             0.43124,             0.50983,             0.42359,              0.2829,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              1.9923,              2.5586,              1.7526,             0.47104,             0.45699,             0.44555,              0.3066,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              1.9951,              2.5209,              1.7787,             0.46717,             0.47547,             0.44316,             0.29644,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              1.9796,              2.5226,              1.7387,             0.38687,             0.50895,             0.41779,             0.28883,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              1.9712,              2.5435,              1.7455,             0.45335,             0.47217,             0.46671,             0.32336,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              1.9607,              2.4951,              1.7309,              0.4634,             0.46006,             0.44499,              0.3058,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.9688,                 2.5,               1.744,             0.43075,             0.52507,             0.45343,             0.31048,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              1.9235,              2.4487,              1.7203,             0.43493,             0.49232,              0.4562,             0.32247,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.9452,              2.4428,              1.7195,             0.46859,             0.48725,             0.43882,             0.29549,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              1.9548,              2.4369,              1.7041,             0.44102,             0.51645,             0.45542,             0.31258,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              1.9317,              2.4056,              1.6963,              0.4723,             0.52124,             0.48729,             0.33593,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,               1.868,              2.3411,              1.7124,             0.45535,             0.52447,             0.47114,             0.33025,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              1.9217,              2.4429,              1.7288,             0.46582,             0.55752,              0.4733,             0.32224,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              1.8912,              2.3719,               1.677,             0.50804,              0.5023,             0.47613,             0.32931,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              1.9063,              2.3762,              1.7111,             0.47895,             0.55691,             0.48494,             0.33628,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              1.8959,              2.3631,              1.6837,             0.53184,             0.49914,             0.47958,             0.33352,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.8495,              2.3398,              1.7054,             0.46633,             0.53943,             0.46858,             0.33045,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              1.8725,              2.3086,              1.6519,             0.47673,             0.54545,             0.49064,             0.34576,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              1.8315,              2.2637,              1.6623,             0.42875,             0.53151,             0.46863,             0.33605,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              1.8759,              2.3079,              1.6933,             0.44006,             0.55072,             0.48838,             0.34434,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              1.8168,              2.2937,              1.6609,             0.51095,              0.5283,             0.49846,             0.34821,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              1.8352,              2.2373,              1.6756,             0.46381,             0.55441,             0.49802,             0.35119,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              1.8609,              2.3081,              1.6736,             0.48619,             0.55938,              0.5077,             0.35565,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              1.8632,              2.2639,              1.6573,              0.4713,             0.57451,             0.50327,             0.35107,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              1.7841,              2.1819,              1.6179,             0.46573,             0.56586,             0.49892,             0.34771,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              1.8427,               2.249,              1.6385,              0.4844,             0.55528,              0.5157,             0.35879,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.7904,              2.2518,               1.662,             0.50258,             0.54603,             0.50262,              0.3518,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              1.8156,              2.2315,              1.6487,             0.49014,             0.54711,             0.51812,             0.36626,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              1.7814,              2.2039,              1.6327,             0.49569,             0.56435,             0.51394,              0.3619,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              1.7952,              2.1731,              1.6475,             0.49229,             0.58838,             0.52175,             0.36783,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              1.8089,              2.2199,              1.6385,             0.49041,             0.54428,             0.50779,             0.35665,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              1.7579,              2.1278,              1.6154,             0.52208,             0.53216,             0.51001,             0.36114,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              1.7679,              2.1647,              1.6241,             0.51283,             0.57324,             0.53118,             0.37093,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,               1.768,              2.2112,              1.6491,             0.49653,             0.56291,             0.51709,             0.36453,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              1.7636,              2.1575,              1.6174,             0.47145,             0.60329,             0.54308,              0.3776,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              1.7277,              2.1287,              1.6093,             0.49788,             0.55091,             0.51398,             0.35849,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,              1.7936,              2.1526,               1.606,             0.51823,             0.56597,             0.53857,             0.38153,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              1.7289,              2.1022,              1.6129,              0.5168,             0.56859,             0.53502,             0.37704,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              1.7368,              2.1288,              1.6101,             0.52479,             0.55957,             0.53129,             0.37085,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.7267,              2.0557,              1.5931,             0.47359,             0.60483,             0.54287,             0.38426,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              1.7777,              2.1296,               1.633,             0.52579,             0.59417,             0.55114,             0.38713,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              1.7323,              2.0301,              1.5785,             0.50392,             0.59575,             0.54021,             0.38236,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              1.7179,              2.0796,              1.5957,             0.49436,             0.59721,             0.54423,             0.38588,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,              1.7293,              2.0843,              1.5971,             0.51215,             0.58182,              0.5361,             0.37924,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,              1.7213,              2.0621,              1.5884,             0.56525,             0.53245,             0.55056,             0.39098,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,              1.7287,              2.1315,              1.5949,             0.53207,             0.55584,             0.54144,             0.38583,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,              1.7038,              2.0195,              1.5826,             0.50734,             0.58746,             0.54813,             0.38803,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,              1.6841,              2.0161,              1.5821,             0.51649,             0.59213,             0.55513,             0.39195,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,              1.7103,                2.05,              1.5793,             0.45716,              0.6496,             0.55558,              0.3924,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,              1.7327,              2.0422,              1.5819,             0.49359,             0.60027,             0.54997,             0.38892,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,              1.6908,              1.9753,              1.5634,             0.49227,             0.61404,             0.56206,             0.39837,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,              1.6902,              2.0085,              1.5727,              0.4917,             0.60925,             0.55604,             0.39614,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,              1.6907,              2.0503,              1.5764,             0.54872,             0.56822,             0.56261,             0.39797,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,              1.6784,              1.9717,              1.5706,             0.54697,             0.55486,             0.55766,             0.39564,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,              1.6899,              1.9946,              1.5691,             0.50472,             0.61486,             0.56204,             0.40131,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,              1.6968,              2.0185,              1.5666,             0.51166,             0.59519,             0.55893,              0.3999,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
